id,title,url,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,contentInfo,publishedTime,,,Is Paid,Total,Column1
1184664,Design Business Card in Photoshop: Earn Money by Doing It,https://www.udemy.com/design-business-card-in-photoshop-earn-money-by-doing-it/,TRUE,50,120,10,29,Beginner Level,3.5 hours,2017-04-24T18:55:28Z,,,,,
65596,Learn to create beautiful web interfaces and logos,https://www.udemy.com/how-to-create-beautiful-web-designs/,TRUE,20,1085,76,10,All Levels,1 hour,2013-07-17T18:18:02Z,,,,,
1018358,Illustrated Logo Design,https://www.udemy.com/how-to-design-illustration-logos/,TRUE,25,447,2,10,Intermediate Level,1 hour,2016-11-24T21:56:58Z,,,,,
16714,Color Basics for Print Designers,https://www.udemy.com/color-basics-for-print-designers/,TRUE,20,372,21,10,All Levels,36 mins,2012-04-23T21:13:00Z,,,,,
657764,Digital Photo Manipulation Art And Cover Design In PhotoShop,https://www.udemy.com/digital-photo-manipulation-art-and-cover-design-in-photoshop/,TRUE,50,721,7,35,Beginner Level,5 hours,2016-03-28T17:56:10Z,,,,,
231970,Drawing Perspective For Beginners,https://www.udemy.com/perspective-drawing-101/,TRUE,150,736,50,44,All Levels,7.5 hours,2016-03-20T21:38:48Z,,,,,
981684,Adobe InDesign CC Advanced,https://www.udemy.com/adobe-indesign-cc-advanced/,TRUE,30,114,24,50,Expert Level,3.5 hours,2016-10-18T17:09:56Z,,,,,
669174,Intro to Photoshop for Merch by Amazon,https://www.udemy.com/intro-to-photoshop-for-merch-by-amazon/,TRUE,25,331,24,9,Beginner Level,1 hour,2015-11-16T20:17:05Z,,,,,
185526,MicroStation - Células,https://www.udemy.com/microstation-celulas/,TRUE,20,0,0,9,Beginner Level,37 mins,2014-04-15T21:48:55Z,,,,,
1185898,Photoshop - Creación de Efectos 2,https://www.udemy.com/photoshop-creacion-de-efectos-2/,TRUE,30,0,0,9,Beginner Level,1 hour,2017-05-17T19:19:18Z,,,,,
1177156,Como Criar Logos de Sucesso - Start Designer,https://www.udemy.com/como-criar-logos-de-sucesso-start-designer/,TRUE,25,0,0,29,Beginner Level,6 hours,2017-06-30T05:48:57Z,,,,,
